Date,Time,Location,Operator,Flight..,Route,Type,Registration,cn.In,Aboard,Fatalities,Ground,Survivors,SurvivalRate,Summary,ClustID
1/7/72,22:00,"Sierra de Atalayasa, Spain",Iberia Airlines,602,Valencia - Ibiza,Sud-Aviation Caravelle VI-R,EC-ATV,163,104,104,0,0,0,The aircraft crashed into hill while attempting to land. Failure to maintain the minimum flight altitude during the final stages of the visual approach.,High Fatality
3/14/72,22:00,"Near Al Fujayrah, United Arab Emirates",Sterling Airways,296,Colombo - Dubai,Aerospatiale Caravelle Super 10B,OY-STL,267,112,112,0,0,0,"The aircraft struck a mountain ridge during approach, 50 miles E of Dubai. Incorrect information from an outdated flight plan.",High Fatality
4/18/72,9:39,"Addis Ababa, Ethiopia",East African Airways,720,Addis Ababa - Rome,BAC Super VC-10 1154,5X-UVA,881,107,43,0,64,0.598130841,The aircraft broke-up after overrunning the runway and an aborted takeoff. Partial loss of braking power due to the incorrect reassembly and repairs of the braking system.,High Fatality
5/5/72,22:24,"Near Carini, Sicily, Italy",Alitalia,112,Rome - Palermo,McDonnell Douglas DC-8-43,I-DIWB,45625/150,115,115,0,0,0,The plane cashed into Mt. Lunga during an approach to Palermo. The crew's non-adherence to airport traffiregulations. The aircraft was named Antonio Pigafetta.,High Fatality
6/14/72,20:20,"Near New Delhi, India",Japan Air Lines,471,Bangkok - Delhi,McDonnell Douglas DC-8-53,JA8012,45860/213,87,82,4,5,0.057471264,The aircraft crashed short of the runway. Indian officials claimed the crash was caused by a disregard for prescribed procedures in abandoning all instrument references before making visual contact with the runway. Japanese investigators claimed a false glide path signal was responsible for the descent into terrain.,High Fatality
6/15/72,14:00,"Near Pleiku, Vietnam",Cathay PacifiAirways,700Z,Bangkok - Hong Kong,Convair CV-880-22M-21,VR-HFZ,22-7-1-53,81,81,0,0,0,"The plane crashed while en route from Singapore to Hong Kong. Detonation of an explosive device in the passenger cabin in a suitcase under a seat. A Thai police lieutenant, accused of planting the bomb, was acquitted due to lack of sufficient evidence.",High Fatality
6/18/72,,"Near Kharkov, Ukraine, USSR",Aeroflot,,,Antonov AN-10A,CCCP-11215,,122,122,0,0,0,Structural failure and separation of both wings due to a fatigue crack in the center wing section.,High Fatality
6/18/72,16:11,"London Heathrow,  Staines, Surrey, England",British European Airways,548,London - Brussels,Hawker Siddeley Trident 1C,G-ARPI,2109,118,118,0,0,0,The plane crashed into a field shortly after taking off from Heathrow Airport. The airplane stalled after the wing's leading edge devices were retracted prematurely after takeoff.  Failure of the captain to maintain adequate speed after noise abatement procedures. Premature retraction of the slats. Incapacitation of the captain due to a possible arterial hemorrhage.,High Fatality
8/14/72,17:00,"Near Konigs Wusterausen, East Germany",Interflug,,Berlin - Birgas,Ilyushin IL-62,DM-SEA,702,156,156,0,0,0,"In cargo bay 6, hot air, leaking from an air conditioning system, melted insulation off cabling causing a short circuit in the stabilizing system. Melting insulation ignited flammable fluid which led to an uncontrollable fire that eventually weakened the structure until the tail fell off.",High Fatality
8/31/72,,"Near Magnitogorsk, Russia",Aeroflot,,,Ilyushin IL-18,CCCP-74298,182004505,101,101,0,0,0,"The aircraft crashed, trailing heavy smoke. Fire caused by spontaneous ignition of passenger baggage.",High Fatality
10/2/72,18:00,"Near Adler, Russia",Aeroflot,,Adler - Moscow,Ilyushin IL-18B,CCCP-75507,183006405,109,109,0,0,0,"The flight ditched into Black Sea shortly after takeoff. The accident occurred in good weather and visibility, and ground controllers received no distress message prior to the crash. An investigation failed to reveal its cause.",High Fatality
10/13/72,21:50,"Near Krasnaya Polyana, USSR",Aeroflot,,Leningrad - Moscow,Ilyushin IL-62,CCCP-86671,70301,174,174,0,0,0,The aircraft crashed at the outer marker while attempting to land for the third time in poor weather conditions.  Sudden incapacitation of the crew for reasons unknown.,High Fatality
11/28/72,19:51,"Near Moscow, Russia",Japan Air Lines,446,Moscow - Tokyo,McDonnell Douglas DC-8-62,JA8040,46057/474,76,62,0,14,0.184210526,"The aircraft lost altitude while taking off and crashed. The copilot responded to the captain's 'gear-up' command by reaching forward and pulling back on the ground spoiler handle, rather than lifting the gear handle which was immediately ahead of the spoiler control. Late night partying by the crew was suspected the night before.",High Fatality
12/3/72,6:45,"Tenerife,  Canary Islands",Spantax,,Tenerife - Munchen,Convair CV-990-30A-5 Coronado,EC-BZR,30-10-25,155,155,0,0,0,Reached a height of 300 feet  when the plane suddenly plunged to earth and crashed. Loss of control precipitated by abnormal maneuvers made by the pilot in command in zero visibility.,High Fatality
12/20/72,18:00,"Chicago, Illinois",Delta Air Lines/ North Central Airlines,954/575,Tampa - Chicago / Chicago - Madison,Convair CV-880 / McDonnell DC-9-31,N8897E/N954N,22-00-29 / 47159/231,133,10,0,123,0.92481203,"The Delta Convair, taxing across Runway 27L, after landing in heavy fog, was hit by the North Central DC-9 as it took off, shearing off its tail. The DC-9 came crashing back down on the runway and caught fire. Ten people out of 45 aboard the DC-9 were killed. None of the 88 aboard the Convair were killed. The ATC gave ambiguous instructions to the Delta crew, did not use all available information to determine the location of the CV-880 and the CV-880 crew did not request clarification of the controller's instructions.",Low Fatality
12/29/72,23:42,"Everglades National Park, Florida",Eastern Air Lines,401,New York City - Miami,Lockheed L-1011 TriStar1,N310EA,1011,176,103,0,73,0.414772727,"The crew was preoccupied with a landing gear problem and was trying to replace the landing gear light while on autopilot and in a holding pattern. As the captain got up to help, he inadvertently pushed on the yoke releasing the autopilot. With no ground reference and  under nighttime conditions, the aircraft gradually descended until it crashed into Everglades, 18.7 miles west-northwest of Miami . The failure of the crew to monitor the flight instruments during the final 4 minutes of flight, and to detect a descent soon enough to prevent impact with the ground. After spare parts from the L-1011 were used on other planes, apparitions of the captain, Robert Loft and flight engineer, Don Repo began to be reported by Eastern employees. The book 'The Ghost of Flight 401'and movies 'The Ghost of Flight 401' and 'Crash' are based on this accident. Three passengers and one crew member died in weeks following the accident making the total 103.",High Fatality
1/22/73,9:30,"Kano, Nigeria",Alia Royal Jordanian Airlines,,Jeddah - Lagos,Boeing B-707-3D3C,JY-ADO,20494/850,202,176,0,26,0.128712871,The landing gear collapsed after hitting a depression in the runway while landing. The aircraft ran off the side of the runway and caught fire.,High Fatality
2/19/73,10:06,"Prague, Czechoslovakia",Aeroflot,,Moscow - Praha,Tupolev TU-154,CCCP-85023,23,100,66,0,34,0.34,The plane struck the ground short of the runway while landing. Possible windshear or jammed tailplane.,High Fatality
2/21/73,14:10,"Near Isma'iliya, Egypt",Libya Arab Airlines,114,Tripoli - Cairo,Boeing B-727-224,5A-DAH,20244/650,113,110,0,3,0.026548673,"While en route from Tripoli to Cairo, the aircraft drifted over Israeli territory due to strong tailwinds and was shot down by Israeli Phantom fighters. After being hit, a fire broke out and the crew attempted to make an emergency landing in the desert but crashed and burst into flames. Cairo approach control radar and beacon not functioning.",High Fatality
2/24/73,,"Near Leningrad, Russia",Aeroflot,,,Ilyushin IL-18,CCCP-75712,189001804,79,79,0,0,0,The aircraft entered a spin and dove into the ground.,High Fatality
3/5/73,13:50,"Near Nantes, France",Lineas Aereas de Espana/Spantax SA Transportes,504/400,Palma de Mallorca - London,MD Douglas DC-9-32/Convair CV-990A,EC-BII/EC-BJC,47077/148 /30-10-22,182,68,0,114,0.626373626,Midair collision. Convair crew improperly assessed collision-course situation. Contributing factor was poor quality of radio transmissions. All sixty-eight aboard the DC-9 were killed while the Convair landed safely.,Low Fatality
4/10/73,10:13,"Near Hochwald, Solothurn,  Switzerland",Invicta International Airlines (UK),,Bristol - Basel,Vickers Vanguard 952,G-AXOP,745,145,108,0,37,0.255172414,Cashed into a forest during a snowstorm. Malfunctioning navigation equipment. Navigational error by crew.,High Fatality
5/18/73,,"Chita, Siberia, Russia",Aeroflot,,Moscow - Chita,Tupolev TU-104A,CCCP-42411,820303,100,100,0,0,0,The aircraft broke up at FL 300. Detonation of a bomb in the cabin being carried by a hijacker.,High Fatality
7/11/73,14:03,"Paris, Orly, France",Varig,820,Rio - de Janerio - Paris,Boeing B-707-345C,PP-VJZ,19106/683,134,123,0,11,0.082089552,Fire aboard the aircraft in the aft right toilet was reported and an emergency descent made. The plane was heavily damaged by fire before fire fighters could rescue passengers. Most fatalities were due to CO before rescuers could reach passengers. The fire started in the aft right toilet either from an electrical short or discarded cigarette.,High Fatality
7/22/73,22:07,"Off Papeete, Tahiti",Pan American World Airways,816,"Auckland, NZ - Papeete, Tahiti - Honolulu - Los Angeles",Boeing B-707-321B,N417PA,18959,79,78,0,1,0.012658228,The aircraft crashed 30 seconds after takeoff from Faaa Airport into the ocean. Cause unknown.  It is possible an instrument failure diverted the crews attention during a turn. The aircraft was named 'Clipper Winged Racer.',High Fatality
7/31/73,10:08,"Logan Airport, Boston, Massachusett",Delta Air Lines,723,"Burlilngton, VT  - Boston, MA",McDonnell Douglas DC-9-31,N975NE,47075/166,89,89,0,0,0,The flight crashed into a seawall during ILS approach in adverse weather conditions. The failure of the flightcrew to monitor altitude and to recognize passage of the aircraft through the approach decision height during an unstabilized precision approach conducted in rapidly changing meteorological conditions. Poor positioning of the aircraft for an approach by ATC. Questionable information presented by the flight director.,High Fatality
10/13/73,20:15,"Near  Domodedovo, Russia",Aeroflot,964,Tbilisi - Moscow,Tupolev TU-104B,SSR-42486,21504,119,119,0,0,0,"After making a right turn, the aircraft plunged to earth from 1,500 ft.  Electrical failure of the compass and main gyro.",High Fatality
8/13/73,11:40,"Near La  Corunda, Spain",Aviaco,116,Madrid - La Coruna,Sud-Aviation Caravelle 10-R,EC-BIC,225/224,85,85,5,0,0,"The aircraft experienced two missing landing attempts. On the third try, the crew tried to descent below minimum safe altitude to make visual contact with the ground. The right wing clipped trees and the aircraft crashed about 2 m from the runway. Attempting to land in meteorological conditions that were below minima.",High Fatality
8/28/73,20:50,"Thirty-five miles west of Los Angeles, California",Trans World Airlines,742,Honolulu - Los Angeles,Boeing B-707-331B,N8705T,18916/455,149,1,0,148,0.993288591,"The plane porpoised while descending to LAX. The aircraft was subjected to 2 minutes of peak acceleration forces of 2.4 g.  A combination of design tolerances in the aircraft's longitudinal control system which, under certain conditions, produced a critical relationship between control forces and aircraft response.",Low Fatality
9/30/73,20:40,"Near Sverdlovsk, Russia",Aeroflot,,,Tupolev TU-104B,CCCP-42506,21904,108,108,0,0,0,"The aircraft crashed shortly after takeoff while on a go-around. After reaching an altitude of 1,200 ft. the aircraft banked to the left which steepened until the plane began to descend and finally crashed. Malfunctioning artificial horizon.",High Fatality
11/3/73,16:40,"Near Albuquerque,  New Mexico",National Airlines,27,"Miami, FL - San Francisco, CA",McDonnell Douglas DC-10-10,N60NA,46700/14,128,1,0,127,0.9921875,"Overspeeding of the starboard engine caused the engine to disintegrate. Pieces struck the fuselage, breaking a window, causing rapid explosive decompression and a passenger was sucked out of the plane.  The plane landed safely. The captain and flight engineer were experimenting with the autothrottle system by tripping the circuit breakers which supplied the instruments which measured the rotational speed of each engine's low pressure compressor. This led to engine overspeeding and destruction of the engine.",Low Fatality
12/17/73,13:00,"Rome, Italy",Pan American World Airways,110,Rome - Beirut,Boeing B-707-321B,N407PA,18838,177,30,0,147,0.830508475,Two phosphorus bombs were thrown into the aircraft prior to its departure. The aircraft was named 'Clipper Celestial.',Low Fatality
12/22/73,22:10,"Near Tetouan, Morocco",Sobelair SA (Belgium),,Paris - Tanger,Sud-Aviation Caravelle VI-N,OO-SRD,069/84,106,106,0,0,0,"After missing the outer marker, the aircraft continued off course and crashed into Mt. Mellaline, 20 kms from the airport at an elevation of 2,300 feet in rain. Crew error. The pilot started his final turn too far east of the runway.",High Fatality
1/26/74,7:30,"Izmir, Turkey",Turkish Airlines (THY),,Izmir - Istanbul,Fokker F-28 Fellowship 1000,TC-JAO,11057,73,66,0,7,0.095890411,"The plane yawed left, pitched nose down and crashed shortly after taking off. Icing. Frost on the wings along with over rotation resulted in a stall. Crew error.",High Fatality
1/30/74,23:41,"Pago Pago, American Samoa",Pan American World Airways,806,Auckland - Pago Pago,Boeing B-707-321B,N454PA,19376/661,101,96,0,5,0.04950495,"The aircraft crashed and burned while making ILS approach to Pango Pango International Airport. There was a failure of the crew to correct an excessive rate of descent causing the aircraft to fly into trees short of the runway. Windshear, sensory illusory, inadequate monitoring of flight instruments, and the failure of the crew to call out descent rate. Most aboard the aircraft were not injured by the crash but succumbed to fire and paniafterwards. The aircraft was named Clipper Raidant.",High Fatality
2/2/74,21:30,"Near Honolulu, HI",Pan American World Airways,,"San Francisco, CA - Honolulu, HI - Agana, Guam",Boeing B-747,N732PA,19638/3,298,1,0,297,0.996644295,A 16 month old child was asphyxiated by a seat belt while unattended.,Low Fatality
3/3/74,11:41,"Near Ermenonville, France",Turkish Airlines (THY),981,Paris - London,McDonnell Douglas DC-10-10,TC-JAV,46704/29,346,346,0,0,0,"The aircraft crashed shortly after takeoff from Orly Airport in Paris, France. Climbing through FL110 the aircraft lost the rear cargo door, resulting in explosive decompression and damage to the cabin floor and control cables. The aircraft lost control and crashed in a forest at a high rate of speed. The service subcontractor and the flight engineer neglected to check the locking mechanism through a recently installed viewport to verify the door was latched properly. In addition, although a service bulletin stipulated that the locking pin should be extended, it was mistakenly shortened causing the latch to release after the cabin was pressurized. On June 12, 1972, an American Airlines DC-10 lost its cargo door shortly after taking off from Detroit Michigan. Using mainly engine thrust the crew was able to land safely. The cause was a defect in the latching mechanism on the door.",High Fatality
4/4/74,2:35,"Francistown, Botswana",Wenela Air Services,,Francistown - Malawi,Douglas DC-4,A2-ZER,27242,84,78,0,6,0.071428571,The aircraft crashed into trees and burst into flames after the engines overheated resulting in loss of power. The plane was carrying gold miners. Fuel contamination. Jet A fuel contaminated the aviation gasoline.,High Fatality
4/22/74,15:26,"Grogak, Bali, Indonesia",Pan American World Airways,812,"Hong Kong - Bali, Indonesia - Sydney, Austrailia",Boeing B-707-321C,N446PA,19268/544,107,107,0,0,0,"The aircraft was on a flight from Hong Kong to Denpassar, Bali.  While on approach, the plane crashed into Mt. Mesehe at 4,000 ft. killing all aboard. Premature execution of a right hand turn to join the 263 degrees outbound track which was based on the indication given by only one of the ADFs while the other one was still in steady condition. External or internal interference causing an incorrect indication from the automatidirection finder. The aircraft was named Clipper Climax.",High Fatality
4/24/74,,"Tashkent, Uzbekistan",Aeroflot,,,Ilyushin IL-18E,CCCP-75405,186009005,115,1,0,114,0.991304348,"The plane took off, descended and crashed.",Low Fatality
4/27/74,,"Near Leningrad, Russia",Aeroflot,,,Ilyushin IL-18B,CCCP-75559,184007703,118,118,0,0,0,The aircraft crashed after report of a heavy vibration and fire in the No. 4 engine. Structural failure of turbine disin No. 4 the engine.,High Fatality
9/8/74,9:40,"Ionian Sea , off Kefallinia, Greece",Trans World Airlines,841,Tel Aviv - Athens - Rome - New York,Boeing B-707-331B,N8734,20063/789,88,88,0,0,0,"The aircraft pitched up, rolled to the left, went into a steep spiral dive and crashed into the sea. Detonation of an explosive device in the aft cargo hold. A Palestinian organization claimed responsibility. The blast probably buckled the cabin floor damaging the elevator and rudder controls.",High Fatality
9/11/74,7:34,"Near Charlotte, North Carolina",Eastern Air Lines,212,"Charleston, SC - Charlotte, NC - Chicago, IL",McDonnell Douglas DC-9-31,N8984E,47400/443,82,70,0,12,0.146341463,The aircraft flew too low and struck trees 3.3 miles short of the runway during an approach in fog. Flightcrew's lack of altitude awareness at critical points during the approach due to poor cockpit discipline in that the crew did not follow prescribed procedures. The crewmembers were preoccupied with conversations having nothing to do with the operating the aircraft while conducting an instrument approach. The aircraft was 50 knots too fast and 500 feet below the final approach fix.,High Fatality
9/15/74,11:00,"Phan Rang, Vietnam",Air Vietnam (South Vietnam),706,Da Nang - Saigon,Boeing B-727-121C,XV-NJC,19819,75,75,0,0,0,"Hijacked. Detonation of two hand grenades in the passenger compartment after the pilot refused to fly to Hanoi, North Vietnam. The aircraft attempted to land, executed a missed approach and dove into the ground from a height of 1,000 feet.",High Fatality
11/20/74,7:50,"Near Nairobi, Kenya",Lufthansa,540,Nairobi - Johannesburg,Boeing B-747-130,D-ABYB,19747/29,157,59,0,98,0.624203822,The aircraft stalled and crashed during takeoff. The wing flaps were not extended. First fatal Boeing 747 accident to occur.,Low Fatality
12/1/74,11:10,"Near Berryville, Virginia",Trans World Airlines,514,Columbus - Washington D.C.,Boeing B-727-231,N54328,20306/791,92,92,0,0,0,The plane crashed into high terrain at approximately 270 mph during an approach to Dulles Airport. The crew's decision to descend before aircraft reached the approach segment. The crew ignored high terrain marked on the en route chart and continued their descent. Lack of clarity in ATC procedures. The issuance of the approach clearance when the flight was 44 miles from the airport on an unpublished route without clearly defined minimum altitudes. Inadequate depiction of altitude restrictions on the profile view of the approach chart for the VOR/DME approach to Runway 12 at Dulles International Airport.,High Fatality
12/4/74,22:15,"Near Maskeliya, Sri Lanka",Martinair Holland NV,,Surabaya - Jeddah,McDonnell Douglas DC-8-55F,PH-MHB,45818/242,191,191,0,0,0,The aircraft impacted high ground during approach. The crew descended below a safe altitude due to a position error resulting from misinterpretation of Doppler and weather radar.,High Fatality
12/22/74,12:30,"Maturin, Venezuela",Aerovias Venezolanas SA (Venezuela),358,,McDonnell Douglas DC-9-14,YV-C-AVM,47056/89,77,77,0,0,0,The flight crashed 5 minutes after taking off. Undetermined cause. Possible engine failure.,High Fatality
4/4/75,16:30,"Saigon, Vietnam",Military - U.S. Air Force,,Tan Son AFB - Clark AFB,Lockheed C-5A Galaxy,68-218,21,330,155,0,175,0.53030303,"The aircraft reported it was returning to Tan Son Nhut Airbase 15 minutes after taking off. The aircraft was not able to make the airport and crashed landed into a rice paddy, 1.5 miles from the airport. The flight was evacuating 243 Vietnamese orphans. Pressure failure due to a faulty rear loading ramp caused decompression which led to severed rudder and elevator cables and loss of two hydraulisystems resulting in a loss of pitch control. Worst single non-combat U.S. military aviation disaster.",Low Fatality
6/24/75,16:05,"JFK Airport, New York, New York",Eastern Air Lines,66,New Orleans - New York City,Boeing B-727-225,N8845E,20443/837,124,113,0,11,0.088709677,"The aircraft crashed into the approach lights to runway 22L at JFK while on an ILS approach to the runway. Aircraft's encounter with heavy rain and a very strong thunderstorm that was located astride the ILS localizer course which resulted in a high descent rate into approach light towers.The flightcrew's delayed recognition and correction of the high descent rate and their reliance upon visual cues rather than on flight instrument reference. However, the adverse winds might have been too severe for a successful approach and landing even had they relied upon and responded rapidly to the indications of the flight instruments.Contributing to the accident was the continued use of Runway 22L when it should have become evident to both air trafficontrol personnel and the flightcrew that a severe weather hazard existed along the approach path.",High Fatality
8/3/75,4:30,"Near Immouzer, Morocco",Alia Royal Jordanian Airlines,,Paris - Agadir,Boeing B-707-321C,JY-AEE,18767/376,188,188,0,0,0,"The aircraft was on approach when the right wing tip and No. 4 engine struck a mountain peak at 2,400 feet.  Part of the wing separated and the plane crashed into a ravine. Crew error.",High Fatality
8/7/75,16:11,"Denver, Colorado",Continental Airlines,426,Denver - Wichita,Boeing B-727-224,N88777,19798/608,131,0,0,131,1,"The aircraft climbed to about 100 feet above runway 35L and then crashed near the departure end of the runway. At the time of the accident, a thunderstorm with associated rain showers was moving over the northern portion of the airport. The aircraft's encounter, immediately following takeoff, with severe windshear at an altitude and airspeed which precluded recovery to level flight.",Low Fatality
8/20/75,1:15,"Near Damascus, Syria",Ceskoslovenske Aerolinie,542,"Prague, Czechoslovakia - Damascus, Syria",Ilyushin IL-62,OK-DBF,31502,128,126,0,2,0.015625,"The airliner crashed into a sandy knoll, 10 miles NE of Damascus during an approach to Damascus International Airport. Failure of the crew to maintain the minimum flight altitude.",High Fatality
10/30/75,9:20,"Near Prague, Czechoslovakia",Inex Adria Aviopromet,,Tivat - Praha,McDonnell Douglas DC-9-32,YU-AJO,47457/620,120,75,0,45,0.375,The aircraft landed short and hit high ground during an ILS approach in fog.,High Fatality
1/1/76,5:30,"Near Al Qaysumah, Saudi Arabia",Middle East Airlines,438,Beirut - Dubai,Boeing B-720B-023B,OD-AFT,18020/165,82,82,0,0,0,The aircraft broke-up at FL 370 and crashed in the desert. Detonation of an explosive device in the forward cargo compartment.,High Fatality
3/6/76,1:00,"Near Voronezh, Russia",Aeroflot,,Moscow - Yerevan,Ilyushin IL-18D,CCCP-75408,186009201,120,120,7,0,0,"The aircraft plunged to earth from FL 260. Electrical power failure of compass, gyros and auto pilot.",High Fatality
6/27/76,,"Entebbe, Uganda",Air France,139,Tel-Aviv - Athens - Paris,Airbus A300,F-BVGG,19,258,7,0,251,0.972868217,"The plane was hijacked ,in Athens, by Palestinian terrorists and flown to Entebbe Uganda. Seven passengers were killed during a commando raid by Israeli armed forces to free the hostages.",Low Fatality
7/28/76,,"Bratislava, Czechoslovakia",Ceskoslovenske Aerolinie,,Prague - Bratislava,Ilyushin IL-18L,OK-NAB,189001605,79,76,0,3,0.037974684,The No. 3 engine failed during the approach and the No. 4 engine was feathered by mistake. The No. 4 engine was restarted but  the aircraft lost control and crashed into Zlaté piesky lake after a decision to go-around was made.,High Fatality
9/9/76,14:50,"Off Adler, Russia",Aeroflot / Aeroflot,7957 /31,Donetsk - Sochi /Rostov na Donu - Kerch,Antonov AN-24 / Yakovlev Yak-40,46518/87772,37308504 / 9030713,90,90,0,0,0,"Midair collision at FL187.  ATC error. Fifty-two deaths on the Antonov, 38 on the Yak. Violation of separation rules. Contributing causes were insufficient visual alertness on the part of both crews and a lack of situation analysis based on air/ground radio communications.",High Fatality
9/10/76,10:15,"Near Gaj, Hrvatska, Yugoslavia",Inex Adria Aviopromet / British Airways,330/476,Split - Koln / London - Istanbul,McDonnell Douglas DC-9-31 / Trident 3B,YU-AJR/G-AWZT,47649741 / 2320,176,176,0,0,0,"Midair collision. ATC error, negligence in operations. Improper look-out duties on both aircraft. One hundred thirteen deaths on the DC-9 and 63 on the Trident. The entire shift of controllers were arrested. One was found guilty of criminal negligence and sentenced to seven years in jail but release after a little over two years.",High Fatality
9/19/76,23:15,"Karatepe Mountains, Turkey",Turkish Airlines (THY),,Istanbul - Antalya,Boeing B-727-2F2,TC-JBH,20982/1087,154,154,0,0,0,The aircraft struck Mt. Karatepa during an approach to land. The crew attempted a landing at Isparta instead of Antalya.,High Fatality
10/6/76,13:24,"Off Bridgetown, Barbados",Cubana de Aviacion,455,Bridgetown - Kingston,McDonnell Douglas DC-8-43,CU-T1201,45611/48,73,73,0,0,0,Ten minutes after taking off from Barbados the aircraft reported an explosion aboard. The plane was seen below the overcast trailing smoke. The aircraft crashed into the Caribbean sea. Detonation of an explosive device in the aft of the cabin which initiated an uncontrollable fire which led to the incapacitation of the crew.,High Fatality
10/13/76,1:37,"Near Bombay, India",Indian Airlines,,Mumbai - Chennai,Sud-Aviation Caravelle VI-N,VT-DWN,231,95,95,0,0,0,"The aircraft crash landed in flames during an emergency landing. The right engine failed during takeoff. A fatigue crack in compressor led to engine destruction, severing of fuel lines and fire. The fire spread because the crew did not shut off the fuel supply.",High Fatality
11/28/76,19:00,"Moscow, Russia",Aeroflot,,Moscow - Leningrad,Tupolev TU-104B,CCCP-42471,21204,72,72,0,0,0,The plane crashed during takeoff in poor weather conditions.,High Fatality
1/13/77,18:15,"Near Alma Ata,  Kazakastan, USSR",Aeroflot,3843,Novosibirsk - Alma Ata,Tupolev TU-104A,CCCP-42369,86601203,96,96,0,0,0,"The aircraft was preparing to land when it was informed by the tower that its left engine was on fire. Shortly thereafter, the plane exploded and crashed 2 miles short of the runway.",High Fatality
2/15/77,,"Mineralnye Vody, Russia",Aeroflot,,Tashkent - Mineralnyye Vody,Ilyushin IL-18V,CCCP-75520,183006703,77,77,0,0,0,The plane crashed after an aborted landing.,High Fatality
3/27/77,17:07,"Tenerife, Canary Islands",Pan American World Airways / KLM,1736/4805,Tenerife - Las Palmas / Tenerife - Las Palmas,Boeing B-747-121 / Boeing B-747-206B,N736PA/PH-BUF,19643/11 / 20400/157,644,583,0,61,0.094720497,"Both aircraft were diverted to Tenerife because of a bombing at Las Palmas Airport. After an extended delay,  both planes were instructed to back track up the runway. The KLM plane reached its takeoff point while the Pan Am plane was still on the runway. The Pan Am plane continued up the runway missing the taxiway turnout. There was heavy fog on the runway. The KLM plane began its takeoff roll without permission with the Pan Am plane still on the runway. The KLM plane hit the Pan Am plane just as it was taking off. Both planes burst into flames.  KLM 234 + 14 crew,  Pan Am 326 + 9 crew killed. All aboard the KLM plane were killed. The Pan Am aircraft was named Clipper Victor. The KLM aircraft was named Rhine River.",High Fatality
4/4/77,16:19,"New Hope, Georgia",Southern Airways,242,Huntsville - Atlanta,McDonnell Douglas DC-9-31,N1335U,47393/608,85,62,8,23,0.270588235,The aircraft sustained a broken windshield and loss of power to both engines after penetrating a thunderstorm and encountering hail. The plane crash landed on a highway and exploded in flames. Total and unique loss of thrust from both engines while the aircraft was penetrating an area of severe thunderstorms with heavy precipitation and hail. Contributing factor was the failure of the company's dispatcher to provide the flight crew with up-to-date severe weather information.,High Fatality
5/27/77,,"Havana, Cuba",Aeroflot,,,Ilyushin IL-62M,CCCP-86614,51903,70,68,1,2,0.028571429,Struck power lines and crashed while attempting to land.,High Fatality
11/19/77,21:48,"Near Funchal, Island of Madeira, Portugal",TAP (Air Portugal),425,Brussels - Funchal,Boeing B-727-282,CS-TBR,20972/1096,164,131,0,33,0.201219512,"The aircraft landed 1,000 ft. past the aiming point of the runway in heavy rain, overran the runway and plunged off a cliff during a third landing attempt. Hydroplaning, due to poor drainage on the runway. Excessive speed during landing.",High Fatality
12/2/77,,"Near Al Bayda, Lebanon",Balkan Bulgarian Airlines,,Jeddah - Benghazi,Tupolev TU-154B,LZ-BTN,54,165,59,0,106,0.642424242,"After not being able to land at the scheduled airport due to fog, the crew could not find the alternate airport, ran out of fuel and crashed.",Low Fatality
12/4/77,20:15,"Straits of Johore, near Kampung Ladang, Malaysia",Malaysia Airlines,653,Penang - Kuala Lumpur,Boeing B-737-2H6,9M-MBD,20585/306,100,100,0,0,0,"During a hijacking and while descending from 21,000 to 7,000 feet, both pilots were shot and the aircraft crashed into a swamp.",High Fatality
1/1/78,20:15,"Off Bandra, Maharashtra, India",Air India,855,Bombay - Dubai,Boeing B-747-237B,VT-EBD,19959/124,213,213,0,0,0,"Following a right turn, after taking off, the plane rolled to the left beyond 90 degrees, went into a steep dive, crashed and exploded in shallow water. Irrational control wheel inputs on the part of the captain after his attitude director indicator malfunctioned leading to complete loss of situational awareness.",High Fatality
3/1/78,9:25,"LAX, Los Angeles, California",Continental Airlines,603,Los Angeles - Honolulu,McDonnell Douglas DC-10-10,N68045,46904,200,2,0,198,0.99,"While approaching V1 speed on takeoff, a loud bang was heard followed by shaking of the aircraft. The crew decided to abort the takeoff. With the end of the runway approaching, the captain steered the aircraft off the runway to the right. The landing gear failed and resulted in a fire. The plane slid for approximately 650 feet and came to rest 40 feet right of the runway centerline. Several passengers not heeding the warnings of the stewardess exited onto the wing and fell into the fire. Failure of two tires on the left main landing gear resulting in failure of a third tire during a critical point in the takeoff. This was to be pilot Gene Hershe's last flight before retiring.",Low Fatality
3/16/78,,"Vrastsa, Bulgaria",Balkan Bulgarian Airlines,,Sofia - Warszawa,Tupolev TU-134,LZ-TUB,8350501,73,73,0,0,0,Crashed shortly after takeoff. An undetermined emergency of some kind occurred during the climb after takeoff resulting in loss of control of the aircraft.,High Fatality
4/20/78,,"Near Murmansk, Russia",Korean Airlines,902,Paris - Seoul,Boeing B-707-321B,HL-7429,19363/623,109,2,0,107,0.981651376,"The aircraft, which deviated off course, suffered rapid decompression after being fired upon by a Russian fighter. The aircraft made an emergency landing on a frozen lake.",Low Fatality
5/19/78,,"Pochinok, Russia",Aeroflot,,Baku - Leningrad,Tupolev TU-154B,CCCP-85169,76A-169,134,4,0,130,0.970149254,The flight engineer accidentally shut off the automatitransferring of fuel from the sump tank. Eventually all three engines stopped and the plane crashed. Fuel starvation.,Low Fatality
